x_m,y_m,w_tr_right_m,w_tr_left_m
1.50355,3.812871,0.925588,1.095201
1.456493,3.82368,0.924342,1.10084
1.40837,3.834734,0.910396,1.107
1.362877,3.845184,0.897606,1.103959
1.315384,3.856094,0.896071,1.120679
1.259252,3.868987,0.882696,1.131255
1.220889,3.8778,0.873623,1.13451
1.201599,3.882231,0.871262,1.147074
1.179286,3.887356,0.864811,1.153
1.16852,3.889829,0.860612,1.171
1.16852,3.889829,0.857313,1.173
1.16852,3.889829,0.858597,1.169001
1.16852,3.889829,0.858793,1.161062
1.16852,3.889829,0.861488,1.167
1.16852,3.889829,0.861371,1.158228
1.16852,3.889829,0.860201,1.169139
1.16852,3.889829,0.858828,1.166
1.16852,3.889829,0.860024,1.165004
1.16852,3.889829,0.860609,1.168015
1.16852,3.889829,0.860198,1.165002
1.16852,3.889829,0.86017,1.166043
